A1	A2	A3	B1	B2	B3
otu_822	8	4	10	10	1	10
otu_823	7	9	7	4	6	3
otu_824	6	1	6	8	8	1
otu_825	7	4	1	1	2	1
otu_826	10	9	4	7	6	2
otu_827	2	2	4	10	4	3
otu_828	2	1	4	2	8	8
otu_829	5	9	2	3	6	9
otu_830	7	7	4	6	3	2
otu_831	10	6	8	8	9	3
otu_832	9	3	3	5	1	7
otu_833	7	7	9	5	9	1
otu_834	6	8	8	10	1	8
otu_835	4	4	7	7	4	4
otu_836	3	1	8	10	2	2
otu_837	3	1	4	3	6	1
otu_838	10	9	6	7	9	5
otu_839	2	4	5	3	6	9
otu_840	3	5	3	10	1	2
otu_841	1	3	8	1	9	7
otu_842	1	9	9	6	3	9
otu_843	1	8	8	4	8	8
otu_844	4	1	8	8	6	8
otu_845	3	6	6	5	2	2
otu_846	2	5	4	2	5	6
otu_847	7	9	1	9	1	7
otu_848	2	10	3	1	10	2
otu_849	2	9	3	6	1	8
otu_850	7	5	3	8	10	9
otu_851	10	1	2	2	10	2
otu_852	4	4	8	9	6	9
otu_853	4	4	4	9	7	10
otu_854	8	2	10	4	8	10
otu_855	9	10	2	1	1	4
otu_856	3	5	2	2	9	5
otu_857	9	3	8	2	6	10
otu_858	3	5	10	2	8	9
otu_859	6	6	5	6	6	2
otu_860	5	1	10	9	6	2
otu_861	2	10	1	5	8	7
otu_862	6	7	6	9	10	10
otu_863	1	2	5	9	3	6
otu_864	5	9	5	5	6	9
otu_865	3	4	4	8	5	10
otu_866	3	2	6	4	3	7
otu_867	3	10	7	5	4	6
otu_868	6	7	10	8	9	5
otu_869	9	3	3	3	4	8
otu_870	3	8	3	2	3	8
otu_871	2	3	9	3	4	3
otu_872	5	5	6	4	4	3
otu_873	5	3	9	3	3	8
otu_874	7	6	6	10	6	10
otu_875	2	7	4	1	8	10
otu_876	8	5	3	6	7	5
otu_877	7	8	7	7	10	9
otu_878	7	8	4	4	10	8
otu_879	8	3	6	3	7	7
otu_880	5	10	7	1	10	6
otu_881	2	1	7	3	2	3
otu_882	3	4	2	10	9	3
otu_883	9	4	4	9	2	1
otu_884	3	4	10	4	7	3
otu_885	3	9	4	1	6	3
otu_886	5	5	8	10	10	1
otu_887	7	7	4	8	4	9
otu_888	8	5	3	8	6	2
otu_889	10	1	1	3	3	8
otu_890	4	4	5	1	10	4
otu_891	3	2	2	10	9	8
otu_892	7	1	6	6	8	2
otu_893	8	10	7	5	8	1
otu_894	1	2	4	10	4	9
otu_895	7	4	10	4	3	10
otu_896	9	4	5	2	1	8
otu_897	3	10	7	9	2	2
otu_898	10	2	1	1	7	2
otu_899	6	8	8	2	9	4
otu_900	4	6	10	3	6	5
otu_901	9	3	10	9	1	6
otu_902	5	4	9	9	3	10
otu_903	9	2	7	1	5	4
otu_904	9	1	5	8	7	4
otu_905	5	2	6	5	8	4
otu_906	6	8	10	1	7	5
otu_907	6	5	4	5	6	2
otu_908	6	7	6	8	3	6
otu_909	8	2	5	5	9	2
otu_910	4	5	9	5	4	1
otu_911	8	9	3	7	7	9
otu_912	7	7	7	2	8	5
otu_913	7	9	4	4	4	6
otu_914	5	8	6	4	5	9
otu_915	8	9	5	2	3	2
otu_916	1	10	9	7	6	7
otu_917	7	1	5	2	7	9
otu_918	10	10	2	3	9	4
otu_919	7	7	4	4	7	5
otu_920	5	1	3	1	1	9
otu_921	1	5	6	7	8	6
otu_922	7	3	1	1	4	2
otu_923	7	2	6	10	2	4
otu_924	3	7	3	3	10	10
otu_925	3	3	6	1	10	7
otu_926	9	2	7	1	1	9
otu_927	1	9	6	9	7	1
otu_928	9	10	10	2	3	6
otu_929	7	9	4	4	10	7
otu_930	6	9	5	7	10	10
otu_931	1	8	8	4	1	6
otu_932	8	4	8	10	6	3
otu_933	5	10	3	8	9	10
otu_934	10	3	10	9	5	2
otu_935	9	4	2	9	9	1
otu_936	5	7	4	5	7	10
otu_937	3	10	2	9	6	9
otu_938	1	4	10	3	5	7
otu_939	6	1	5	2	8	7
otu_940	4	5	9	5	2	8
otu_941	8	3	8	4	2	10
otu_942	9	4	2	3	5	9
otu_943	9	1	5	1	4	9
otu_944	8	5	1	3	7	7
otu_945	7	3	6	1	9	6
otu_946	4	1	6	10	2	10
otu_947	8	1	3	2	3	5
otu_948	5	9	5	7	7	8
otu_949	1	3	4	9	2	8
otu_950	1	4	10	10	8	4
otu_951	5	6	5	2	8	5
otu_952	3	9	2	5	2	5
otu_953	4	9	6	1	10	10
otu_954	3	3	6	2	8	2
otu_955	2	8	6	9	5	10
otu_956	10	1	9	10	5	9
otu_957	3	10	2	4	6	5
otu_958	10	1	10	7	7	8
otu_959	5	7	9	7	2	7
otu_960	8	6	3	1	5	8
otu_961	1	7	6	6	3	10
otu_962	5	5	8	8	5	7
otu_963	3	8	5	8	6	3
otu_964	6	10	3	10	6	5
otu_965	2	1	4	3	9	7
otu_966	1	1	7	2	1	5
otu_967	7	10	10	10	5	7
otu_968	1	8	10	4	6	5
otu_969	8	3	6	3	6	7
otu_970	3	4	4	6	8	7
otu_971	2	8	3	1	8	2
otu_972	10	5	4	9	2	7
otu_973	3	3	6	10	4	5
otu_974	5	10	2	2	8	7
otu_975	8	1	6	3	3	5
otu_976	1	1	9	2	10	2
otu_977	2	4	5	3	10	5
otu_978	4	2	1	6	4	5
otu_979	7	5	2	9	5	2
otu_980	5	9	5	6	10	1
otu_981	10	8	1	6	3	6
otu_982	4	5	2	7	9	5
otu_983	8	2	8	2	3	10
otu_984	1	10	9	10	1	6
otu_985	5	4	4	6	4	5
otu_986	7	2	6	2	7	6
otu_987	6	2	5	7	9	6
otu_988	10	4	3	3	9	1
otu_989	1	9	3	10	2	10
otu_990	10	2	2	1	8	3
otu_991	7	4	4	8	8	10
otu_992	2	2	2	2	3	1
otu_993	10	10	5	9	6	5
otu_994	5	7	9	7	8	4
otu_995	3	4	9	8	10	10
otu_996	2	10	1	9	3	2
otu_997	6	7	4	6	10	3
otu_998	2	2	5	3	5	3
otu_999	3	2	3	6	5	2
otu_1000	3	6	4	2	10	5
otu_1001	4	10	2	5	1	3
otu_1002	9	1	6	7	8	2
otu_1003	5	8	1	2	10	3
otu_1004	2	8	4	10	4	2
otu_1005	9	7	2	9	4	4
otu_1006	1	10	5	8	6	1
otu_1007	7	8	9	7	3	10
otu_1008	1	10	4	5	9	1
otu_1009	6	3	4	10	2	7
otu_1010	1	10	9	8	4	2
otu_1011	6	2	9	1	3	5
otu_1012	8	1	8	6	10	3
otu_1013	10	7	9	5	4	6
otu_1014	2	6	9	10	8	6
otu_1015	5	4	9	5	7	2
otu_1016	10	7	5	7	9	4
otu_1017	2	1	3	6	4	10
otu_1018	5	9	3	7	1	2
otu_1019	3	9	3	10	10	3
otu_1020	6	7	10	1	5	5
otu_1021	6	4	6	7	4	9
otu_1022	9	7	5	4	4	4
otu_1023	6	2	9	7	6	9
otu_1024	4	10	3	9	8	1
otu_1025	2	4	3	4	9	8
otu_1026	7	4	10	1	1	8
otu_1027	9	1	3	6	3	9
otu_1028	4	7	9	8	4	6
otu_1029	1	2	7	4	7	9
otu_1030	8	6	9	5	3	6
otu_1031	3	7	6	8	3	8
otu_1032	9	8	9	10	3	8
otu_1033	6	4	7	9	9	3
otu_1034	3	3	7	3	2	3
otu_1035	3	1	9	6	9	5
otu_1036	4	8	1	7	4	1
otu_1037	6	4	4	2	9	2
otu_1038	2	8	4	3	8	3
otu_1039	7	3	3	9	8	10
otu_1040	6	1	8	1	3	10
otu_1041	7	5	3	5	3	4
otu_1042	4	7	2	8	10	4
otu_1043	7	10	2	8	9	7
otu_1044	10	5	4	1	8	9
otu_1045	4	2	5	3	7	8
otu_1046	9	10	6	2	2	3
otu_1047	5	4	6	1	2	5
otu_1048	9	8	1	9	9	2
otu_1049	9	4	1	4	1	7
otu_1050	3	2	8	10	10	8
otu_1051	1	4	3	10	2	5
otu_1052	9	1	7	9	10	10
otu_1053	9	7	9	8	5	4
otu_1054	3	6	2	4	8	8
otu_1055	4	5	1	3	7	2
otu_1056	7	7	5	3	7	9
otu_1057	9	2	1	3	1	6
otu_1058	10	7	10	7	10	9
otu_1059	8	2	6	10	9	5
otu_1060	3	4	10	3	1	3
otu_1061	6	1	7	2	8	9
otu_1062	1	5	6	8	9	6
otu_1063	9	7	10	5	8	7
otu_1064	9	8	5	1	2	7
otu_1065	7	2	7	7	9	1
otu_1066	8	1	10	8	5	2
otu_1067	1	3	7	4	2	6
otu_1068	10	2	3	5	2	9
otu_1069	8	1	3	5	8	4
otu_1070	2	10	6	5	7	3
otu_1071	8	3	9	2	2	3
otu_1072	6	10	2	3	6	8
otu_1073	9	1	4	7	6	7
otu_1074	2	2	3	7	2	4
otu_1075	7	4	10	3	10	1
otu_1076	7	7	2	8	5	2
otu_1077	9	2	1	9	10	3
otu_1078	3	10	2	3	8	1
otu_1079	3	1	3	2	2	4
otu_1080	5	1	3	5	4	10
otu_1081	2	8	7	7	7	2
otu_1082	4	3	2	10	2	3
otu_1083	10	8	4	3	9	7
otu_1084	1	7	1	10	2	1
otu_1085	10	1	2	1	10	2
otu_1086	5	10	7	6	9	2
otu_1087	10	7	8	6	6	6
otu_1088	8	8	1	5	9	9
otu_1089	5	6	6	8	6	4
otu_1090	6	7	6	6	10	4
otu_1091	9	6	9	8	1	4
otu_1092	3	9	3	10	8	7
otu_1093	1	10	6	10	6	3
otu_1094	9	5	2	1	2	2
otu_1095	2	4	5	3	3	2
otu_1096	1	6	3	4	6	4
otu_1097	8	5	7	8	9	10
otu_1098	9	7	7	10	2	10
otu_1099	2	10	7	10	2	6
otu_1100	3	3	6	8	8	6
otu_1101	6	9	9	1	3	1
otu_1102	1	1	10	1	4	6
otu_1103	7	2	5	6	2	7
otu_1104	2	10	10	5	10	6
otu_1105	5	1	7	8	8	5
otu_1106	10	10	2	1	3	9
otu_1107	3	4	5	6	6	8
otu_1108	7	2	9	5	4	10
otu_1109	2	6	4	2	8	10
otu_1110	8	9	9	9	2	3
otu_1111	3	4	3	10	5	3
otu_1112	4	7	1	6	2	3
otu_1113	3	6	9	10	9	6
otu_1114	3	8	9	7	6	1
otu_1115	2	6	10	5	8	8
otu_1116	4	9	9	1	2	8
otu_1117	4	3	10	6	10	10
otu_1118	6	6	1	10	7	1
otu_1119	6	9	5	4	4	10
otu_1120	3	8	2	9	4	8
otu_1121	9	3	4	6	8	10
otu_1122	5	10	3	6	4	1
otu_1123	5	2	6	5	6	4
otu_1124	8	4	2	10	4	9
otu_1125	5	2	2	4	2	9
otu_1126	5	7	8	9	6	10
otu_1127	3	6	2	10	6	1
otu_1128	7	6	4	10	9	5
otu_1129	1	9	7	1	7	5
otu_1130	2	10	2	3	6	2
otu_1131	1	9	3	8	3	9
otu_1132	8	3	10	8	1	9
otu_1133	1	2	4	8	2	5
otu_1134	2	8	8	7	2	2
otu_1135	10	5	2	3	2	9
otu_1136	2	5	3	7	3	8
otu_1137	6	7	5	1	10	7
otu_1138	3	2	3	10	6	4
otu_1139	8	1	9	6	1	7
otu_1140	1	4	7	4	2	2
otu_1141	6	10	10	5	6	3
otu_1142	8	4	10	3	10	6
otu_1143	1	2	4	1	2	2
otu_1144	4	5	2	6	2	8
otu_1145	8	6	2	10	6	9
otu_1146	3	7	2	2	2	3
otu_1147	1	7	6	8	6	10
otu_1148	6	7	10	3	1	8
otu_1149	3	7	6	3	3	5
otu_1150	5	7	9	6	8	7
otu_1151	1	3	3	8	2	3
otu_1152	6	6	5	5	10	4
otu_1153	5	10	9	3	3	3
otu_1154	1	6	8	2	7	9
otu_1155	8	1	10	10	3	6
otu_1156	9	1	3	3	9	10
otu_1157	5	4	8	3	5	3
otu_1158	5	5	5	2	8	1
otu_1159	8	1	2	9	9	1
otu_1160	4	1	1	10	8	8
otu_1161	4	3	1	5	3	7
otu_1162	4	2	3	10	2	3
otu_1163	5	9	3	10	8	8
otu_1164	4	1	7	6	10	5
otu_1165	6	9	10	1	1	9
otu_1166	10	2	8	1	9	4
otu_1167	4	9	4	4	3	1
otu_1168	1	10	1	10	6	6
otu_1169	8	4	1	7	2	8
otu_1170	5	2	8	4	9	5
otu_1171	5	10	4	5	8	5
otu_1172	10	4	9	6	6	8
otu_1173	3	7	3	9	4	9
otu_1174	1	4	10	9	7	7
otu_1175	2	9	2	2	6	6
otu_1176	3	3	10	4	7	4
otu_1177	4	6	9	10	5	8
otu_1178	10	7	5	7	7	4
otu_1179	4	3	8	8	8	1
otu_1180	4	6	5	4	9	9
otu_1181	10	7	10	1	1	5
otu_1182	1	6	2	3	9	7
otu_1183	9	1	3	10	9	2
otu_1184	1	9	3	8	4	3
otu_1185	5	3	8	7	9	8
otu_1186	4	5	7	8	3	3
otu_1187	1	6	8	3	1	5
otu_1188	7	7	4	6	10	3
otu_1189	9	5	5	7	9	7
otu_1190	5	4	1	9	4	9
otu_1191	9	5	5	2	10	10
otu_1192	6	3	9	10	7	5
otu_1193	9	6	7	3	5	10
otu_1194	3	6	6	8	10	4
otu_1195	9	2	1	4	5	4
otu_1196	1	10	10	5	3	8
otu_1197	3	4	1	4	1	7
otu_1198	6	8	8	1	10	6
otu_1199	2	10	10	5	8	4
otu_1200	1	2	5	1	1	6
otu_1201	10	9	8	8	9	1
otu_1202	5	10	2	1	6	5
otu_1203	1	5	6	5	9	10
otu_1204	6	10	7	1	2	9
otu_1205	6	8	7	9	8	7
otu_1206	8	9	1	4	8	5
otu_1207	1	10	8	1	5	4
otu_1208	6	10	9	5	6	10
otu_1209	1	4	5	9	10	9
otu_1210	6	10	1	3	6	4
otu_1211	6	10	5	4	1	10
otu_1212	5	2	5	4	5	10
otu_1213	10	6	5	4	7	8
otu_1214	9	9	3	10	7	6
otu_1215	10	8	7	3	1	6
otu_1216	3	2	6	3	5	7
otu_1217	9	2	6	10	9	8
otu_1218	5	2	2	9	9	8
otu_1219	7	7	4	4	5	7
otu_1220	2	8	6	3	5	2
otu_1221	6	2	5	10	8	4
otu_1222	10	6	1	3	8	4
otu_1223	7	2	6	4	1	3
otu_1224	9	2	4	2	5	3
otu_1225	3	6	9	1	6	8
otu_1226	9	8	8	5	10	6
otu_1227	6	9	2	10	3	4
otu_1228	6	9	3	6	8	7
otu_1229	8	1	7	6	10	10
otu_1230	4	9	7	5	5	6
otu_1231	6	2	7	5	1	5
otu_1232	1	2	9	2	6	1
otu_1233	4	10	8	8	9	8
otu_1234	6	6	3	9	10	5
otu_1235	10	2	6	9	1	9
otu_1236	7	3	3	7	8	7
otu_1237	7	1	4	8	9	9
otu_1238	5	2	9	4	9	2
otu_1239	1	2	10	4	6	8
otu_1240	3	6	10	2	2	1
otu_1241	8	6	4	9	8	8
otu_1242	1	1	8	10	5	7
otu_1243	8	10	4	3	9	5
otu_1244	7	9	8	2	7	3
otu_1245	3	4	3	9	4	5
otu_1246	1	10	6	5	7	3
otu_1247	8	4	1	10	5	8
otu_1248	8	7	6	8	6	2
otu_1249	7	9	1	8	6	3
otu_1250	9	7	9	3	5	8
otu_1251	1	10	3	4	8	6
otu_1252	8	6	6	8	9	1
otu_1253	1	9	9	2	4	4
otu_1254	6	4	9	3	5	2
otu_1255	2	3	4	6	5	4
otu_1256	5	1	1	2	2	3
otu_1257	10	6	9	1	4	1
otu_1258	3	2	5	10	2	8
otu_1259	10	6	8	3	3	5
otu_1260	4	8	9	3	9	8
otu_1261	8	3	8	6	3	1
otu_1262	6	7	5	8	7	4
otu_1263	9	8	7	7	3	1
otu_1264	5	8	2	8	5	10
otu_1265	1	6	1	4	9	4
otu_1266	1	10	8	3	5	5
otu_1267	2	4	1	8	3	5
otu_1268	10	6	9	10	10	10
otu_1269	9	4	5	1	6	4
otu_1270	1	9	5	9	9	8
otu_1271	2	4	8	7	9	8
otu_1272	9	8	6	8	8	1
otu_1273	1	7	5	6	3	3
otu_1274	2	10	10	10	3	10
otu_1275	4	4	1	7	6	6
otu_1276	8	1	6	6	8	3
otu_1277	8	4	3	3	6	5
otu_1278	5	4	9	7	7	1
otu_1279	9	3	2	6	8	4
otu_1280	10	1	7	1	4	5
otu_1281	1	2	3	9	4	10
otu_1282	4	2	5	10	1	5
otu_1283	7	4	1	6	2	6
otu_1284	6	9	4	8	6	4
otu_1285	2	1	10	3	6	9
otu_1286	7	1	10	6	2	3
otu_1287	3	4	9	6	2	3
otu_1288	2	10	2	9	5	4
otu_1289	1	3	1	8	10	1
otu_1290	6	4	3	3	8	2
otu_1291	6	1	1	9	8	4
otu_1292	4	7	5	10	4	5
otu_1293	5	2	8	1	10	3
otu_1294	5	4	5	6	10	7
otu_1295	10	10	2	2	7	9
otu_1296	8	6	2	3	9	6
otu_1297	6	5	6	5	7	1
otu_1298	10	3	2	9	2	7
otu_1299	7	3	7	4	4	4
otu_1300	3	2	7	3	9	9
otu_1301	1	8	7	2	2	5
otu_1302	2	4	5	9	7	2
otu_1303	10	10	9	2	1	5
otu_1304	5	10	6	6	4	7
otu_1305	5	9	3	4	2	6
otu_1306	7	7	3	5	8	2
otu_1307	1	5	3	2	4	7
otu_1308	1	3	5	4	4	8
otu_1309	10	5	8	8	9	2
otu_1310	2	6	7	1	4	10
otu_1311	2	4	4	10	1	2
otu_1312	5	3	9	3	3	10
otu_1313	1	7	5	4	9	3
otu_1314	3	9	9	10	7	2
otu_1315	10	8	5	3	7	10
otu_1316	9	6	4	1	9	10
otu_1317	3	2	1	3	10	9
otu_1318	2	8	6	6	5	10
otu_1319	1	4	9	3	2	1
otu_1320	9	2	7	8	4	5
otu_1321	3	2	3	3	1	4
otu_1322	2	6	4	8	5	1
otu_1323	9	3	1	9	1	1
otu_1324	10	10	1	8	10	1
otu_1325	10	3	6	1	6	3
otu_1326	6	2	1	9	3	3
otu_1327	6	6	7	8	1	3
otu_1328	8	5	6	10	8	5
otu_1329	4	2	2	5	4	3
otu_1330	2	7	8	10	3	3
otu_1331	1	8	1	5	1	10
otu_1332	2	5	10	5	1	8
otu_1333	7	10	4	5	5	8
otu_1334	7	5	7	7	8	10
otu_1335	4	1	8	6	1	4
otu_1336	5	9	1	10	10	9
otu_1337	10	7	8	3	1	5
otu_1338	1	3	6	3	7	4
otu_1339	10	10	9	4	4	4
otu_1340	9	1	8	10	7	8
otu_1341	7	1	5	6	1	8
otu_1342	5	4	9	9	10	9
otu_1343	7	9	6	6	2	10
otu_1344	5	10	7	7	3	4
otu_1345	2	6	8	3	1	1
otu_1346	8	2	3	8	3	5
otu_1347	7	2	9	7	10	9
otu_1348	10	5	3	2	10	10
otu_1349	8	5	3	8	3	2
otu_1350	9	3	6	1	6	10
otu_1351	3	6	9	8	2	2
otu_1352	6	7	4	8	5	6
otu_1353	7	2	1	1	9	1
otu_1354	3	4	5	6	2	9
otu_1355	8	8	8	9	10	8
otu_1356	1	3	8	8	3	7
otu_1357	9	1	7	5	8	3
otu_1358	6	4	1	5	8	5
otu_1359	9	6	5	6	8	9
otu_1360	3	2	2	7	4	8
otu_1361	3	1	2	2	10	2
otu_1362	6	3	7	9	4	8
otu_1363	9	8	4	5	10	2
otu_1364	9	4	4	9	10	4
otu_1365	3	1	10	8	5	2
otu_1366	5	1	2	7	1	9
otu_1367	7	5	2	6	7	3
otu_1368	2	5	4	2	1	2
otu_1369	6	8	4	8	9	1
otu_1370	8	6	9	7	10	9
otu_1371	5	8	6	9	4	7
otu_1372	3	7	9	9	7	8
otu_1373	10	7	1	5	4	4
otu_1374	5	6	1	5	6	10
otu_1375	4	5	8	5	8	10
otu_1376	4	9	8	1	10	10
otu_1377	7	4	10	7	1	2
otu_1378	1	5	6	8	9	4
otu_1379	2	1	2	10	10	8
otu_1380	5	10	5	6	3	9
otu_1381	3	8	1	5	7	6
otu_1382	7	3	3	5	5	6
otu_1383	8	5	8	4	10	8
otu_1384	5	5	1	9	3	5
otu_1385	7	4	9	9	9	8
otu_1386	3	5	8	9	1	9
otu_1387	6	2	4	9	10	10
otu_1388	8	9	4	4	1	8
otu_1389	10	5	5	8	5	7
otu_1390	6	1	2	1	3	10
otu_1391	10	1	2	1	5	2
otu_1392	8	8	7	6	7	6
otu_1393	10	5	1	10	8	4
otu_1394	6	1	3	9	7	10
otu_1395	3	3	8	4	8	1
otu_1396	7	2	2	5	4	5
otu_1397	1	8	3	1	6	2
otu_1398	6	3	5	2	3	4
otu_1399	5	6	1	6	4	6
otu_1400	2	5	4	6	9	5
otu_1401	7	4	10	3	9	2
otu_1402	3	8	6	8	4	1
otu_1403	3	4	4	3	6	7
otu_1404	4	10	5	7	10	5
otu_1405	1	9	2	3	2	3
otu_1406	6	5	5	1	6	4
otu_1407	5	3	5	10	9	1
otu_1408	2	5	1	8	5	7
otu_1409	7	7	7	2	6	4
otu_1410	10	9	9	4	9	2
otu_1411	1	8	6	6	6	7
otu_1412	5	6	7	6	7	4
otu_1413	5	9	9	5	4	6
otu_1414	8	3	4	6	5	9
otu_1415	3	3	4	6	4	10
otu_1416	1	8	7	6	1	9
otu_1417	4	2	5	5	8	7
otu_1418	8	2	10	2	5	7
otu_1419	2	10	6	1	9	2
otu_1420	4	3	7	8	6	2
otu_1421	8	9	2	1	9	10
otu_1422	8	6	2	10	9	3
otu_1423	5	2	9	8	10	3
otu_1424	6	3	4	6	4	10
otu_1425	7	2	10	8	6	5
otu_1426	9	2	1	3	5	5
otu_1427	7	6	2	10	5	2
otu_1428	4	1	9	7	4	8
otu_1429	2	8	3	6	5	8
otu_1430	8	5	1	5	4	9
otu_1431	8	9	6	5	10	7
otu_1432	1	3	9	7	4	1
otu_1433	7	3	2	2	3	10
otu_1434	2	2	7	10	1	5
otu_1435	10	1	1	1	7	4
otu_1436	6	8	9	8	8	1
otu_1437	4	8	1	9	4	2
otu_1438	6	7	1	1	1	3
otu_1439	10	8	9	9	9	9
otu_1440	3	10	8	5	10	5
otu_1441	6	1	6	9	8	8
otu_1442	9	9	1	8	4	10
otu_1443	8	7	5	7	10	10
otu_1444	9	6	4	6	5	3
otu_1445	7	2	6	1	7	8
otu_1446	3	6	6	7	8	4
otu_1447	8	2	4	7	7	8
otu_1448	10	4	2	3	5	7
otu_1449	2	2	3	7	2	6
otu_1450	8	6	2	10	9	8
otu_1451	8	6	4	6	4	2
otu_1452	8	3	2	10	7	4
otu_1453	2	2	7	2	5	4
otu_1454	1	8	3	7	3	9
otu_1455	9	4	4	3	7	7
otu_1456	5	9	4	7	2	7
otu_1457	7	6	9	7	10	9
otu_1458	3	2	3	6	9	9
otu_1459	6	1	6	5	4	3
otu_1460	8	9	1	5	6	7
otu_1461	9	8	7	9	2	2
otu_1462	3	6	1	10	9	7
otu_1463	1	8	10	1	8	10
otu_1464	8	4	8	3	3	6
otu_1465	7	5	2	6	3	6
otu_1466	5	2	4	5	4	3
otu_1467	3	10	1	8	10	5
otu_1468	7	5	6	2	9	5
otu_1469	4	5	3	1	3	6
otu_1470	9	9	8	2	6	9
otu_1471	5	7	5	9	3	1
otu_1472	9	2	3	1	2	9
otu_1473	7	10	3	9	8	3
otu_1474	9	9	10	9	2	1
otu_1475	9	10	5	5	1	10
otu_1476	7	10	9	9	8	3
otu_1477	4	9	7	8	2	5
otu_1478	3	10	5	9	4	6
otu_1479	9	10	6	7	6	8
otu_1480	2	7	1	9	5	7
otu_1481	8	1	10	1	8	3
otu_1482	1	1	3	9	9	7
otu_1483	10	9	10	10	4	3
otu_1484	7	7	3	6	7	4
otu_1485	2	6	4	1	8	7
otu_1486	10	3	7	5	6	9
otu_1487	3	4	9	8	10	8
otu_1488	2	7	6	7	2	6
otu_1489	5	4	3	5	8	1
otu_1490	8	4	6	1	5	5
otu_1491	1	7	4	10	10	6
otu_1492	1	1	4	9	3	4
otu_1493	8	7	2	4	2	10
otu_1494	2	2	5	6	3	9
otu_1495	8	8	10	4	9	10
otu_1496	3	5	4	10	1	8
otu_1497	4	1	8	2	1	2
otu_1498	7	3	5	8	9	1
otu_1499	2	7	4	5	10	7
otu_1500	4	1	6	7	3	4
otu_1501	1	7	6	5	4	6
otu_1502	3	8	3	10	9	10
otu_1503	7	2	3	3	6	6
otu_1504	8	6	1	9	5	9
otu_1505	3	10	1	6	7	2
otu_1506	7	9	7	3	9	9
otu_1507	2	7	8	2	4	7
otu_1508	2	1	1	6	2	9
otu_1509	9	7	5	1	2	10
otu_1510	10	7	6	3	5	2
otu_1511	7	1	1	2	5	7
otu_1512	1	2	3	4	7	3
otu_1513	2	3	10	10	5	8
otu_1514	9	8	1	9	10	8
otu_1515	9	1	2	7	5	9
otu_1516	1	3	6	4	4	8
otu_1517	6	9	10	10	6	4
otu_1518	6	4	5	7	7	10
otu_1519	9	4	2	5	1	2
otu_1520	7	8	5	9	8	7
otu_1521	9	3	6	8	4	6
otu_1522	3	4	3	6	8	7
otu_1523	8	5	10	7	5	7
otu_1524	10	2	3	10	4	8
otu_1525	6	10	3	3	2	8
otu_1526	10	4	3	9	9	5
otu_1527	9	7	1	2	5	2
otu_1528	9	6	5	4	6	7
otu_1529	4	4	7	8	3	6
otu_1530	9	9	1	8	8	8
otu_1531	9	7	8	7	2	2
otu_1532	5	8	1	2	5	6
otu_1533	1	3	1	3	4	7
otu_1534	2	8	7	2	9	5
otu_1535	3	7	9	10	5	6
otu_1536	5	7	8	1	2	4
otu_1537	8	2	10	10	2	2
otu_1538	1	1	2	9	2	1
otu_1539	7	7	4	1	3	10
otu_1540	10	5	2	8	6	10
otu_1541	5	1	9	2	6	6
otu_1542	7	2	8	7	3	10
otu_1543	9	5	8	5	5	1
otu_1544	10	6	7	5	5	1
otu_1545	2	6	1	5	8	1
otu_1546	6	1	3	9	1	8
otu_1547	3	8	8	10	3	3
otu_1548	3	8	3	9	3	8
otu_1549	8	4	6	3	9	2
otu_1550	7	9	7	2	9	5
otu_1551	2	9	7	3	7	9
otu_1552	5	4	4	1	6	6
otu_1553	6	1	4	6	6	9
otu_1554	3	3	4	7	1	7
otu_1555	1	3	1	4	10	9
otu_1556	9	6	5	1	3	5
otu_1557	8	6	8	9	1	6
otu_1558	9	5	1	9	5	9
otu_1559	1	7	3	7	5	8
otu_1560	8	10	5	8	6	7
otu_1561	8	9	2	8	7	8
otu_1562	8	7	5	7	7	3
otu_1563	10	6	8	6	5	9
otu_1564	10	10	2	9	9	1
otu_1565	8	10	5	10	10	6
otu_1566	8	10	8	6	2	5
otu_1567	8	3	7	3	5	9
otu_1568	2	3	2	4	8	7
otu_1569	2	7	5	1	3	9
otu_1570	2	8	4	4	10	2
otu_1571	3	4	8	9	4	1
otu_1572	2	7	7	3	6	7
otu_1573	9	5	3	5	8	4
otu_1574	9	1	10	6	5	10
otu_1575	7	1	6	2	2	9
otu_1576	5	4	5	4	4	6
otu_1577	10	1	1	10	6	3
otu_1578	6	2	5	3	2	8
otu_1579	2	4	8	4	4	8
otu_1580	1	9	10	10	6	2
otu_1581	2	2	8	5	3	9
otu_1582	2	10	3	10	7	5
otu_1583	10	3	3	9	6	2
otu_1584	5	5	5	10	9	2
otu_1585	8	6	7	9	1	6
otu_1586	3	10	7	8	4	7
otu_1587	2	1	10	8	4	10
otu_1588	8	6	5	7	4	9
otu_1589	9	9	4	4	2	7
otu_1590	9	5	1	6	3	5
otu_1591	7	1	2	2	3	4
otu_1592	2	6	7	2	1	1
otu_1593	5	8	1	4	9	9
otu_1594	9	2	3	6	10	6
otu_1595	3	9	4	7	5	3
otu_1596	10	4	1	10	1	7
otu_1597	9	4	10	5	9	5
otu_1598	5	9	5	1	8	2
otu_1599	8	10	9	3	9	10
otu_1600	2	5	8	3	5	1
otu_1601	6	10	3	5	10	1
otu_1602	8	4	10	5	4	3
otu_1603	6	4	5	5	6	10
otu_1604	10	2	4	8	7	7
otu_1605	6	3	3	3	9	2
otu_1606	4	4	2	8	2	4
otu_1607	1	5	2	10	3	2
