A1	A2	A3	B1	B2	B3
ASV_776	7	7	6	1	3	5
ASV_777	7	5	8	8	1	5
ASV_778	2	9	7	1	10	7
ASV_779	8	3	8	6	5	10
ASV_780	1	10	3	10	7	10
ASV_781	2	4	4	2	6	2
ASV_782	5	3	5	9	1	10
ASV_783	2	10	1	6	9	7
ASV_784	2	4	2	5	5	8
ASV_785	3	5	3	4	8	9
ASV_786	5	3	3	3	10	6
ASV_787	1	8	2	9	2	1
ASV_788	4	2	1	4	9	9
ASV_789	9	8	9	3	3	9
ASV_790	1	3	10	9	7	9
ASV_791	2	2	4	9	3	8
ASV_792	7	3	7	7	1	9
ASV_793	10	3	7	5	9	6
ASV_794	3	9	5	9	2	1
ASV_795	10	3	9	8	3	3
ASV_796	3	6	2	8	5	2
ASV_797	9	6	4	2	3	1
ASV_798	6	7	8	2	3	3
ASV_799	4	8	10	10	10	4
ASV_800	2	9	1	3	2	2
ASV_801	9	2	2	5	2	7
ASV_802	1	4	1	2	8	8
ASV_803	7	7	5	1	6	3
ASV_804	9	1	3	1	10	3
ASV_805	9	10	9	1	8	9
ASV_806	4	2	9	2	3	2
ASV_807	4	6	8	9	6	2
ASV_808	5	2	9	4	8	1
ASV_809	1	1	1	5	10	1
ASV_810	7	1	6	9	6	2
ASV_811	5	2	3	1	4	9
ASV_812	3	6	4	3	9	3
ASV_813	7	2	3	1	2	2
ASV_814	2	10	8	9	2	2
ASV_815	8	8	4	8	8	7
ASV_816	7	3	6	5	4	7
ASV_817	10	3	7	1	3	4
ASV_818	4	2	5	4	6	4
ASV_819	8	9	6	3	1	9
ASV_820	9	6	9	5	5	8
ASV_821	10	10	6	9	9	7
ASV_822	10	2	2	7	10	5
ASV_823	2	3	5	6	10	3
ASV_824	5	10	7	1	7	1
ASV_825	4	3	1	10	1	5
ASV_826	9	7	5	7	5	10
ASV_827	1	9	6	7	1	2
ASV_828	4	8	9	2	4	2
ASV_829	7	9	9	7	9	9
ASV_830	2	8	4	7	7	1
ASV_831	4	9	2	7	2	5
ASV_832	3	9	9	2	10	5
ASV_833	3	1	9	4	1	2
ASV_834	10	4	8	4	1	9
ASV_835	2	9	9	10	6	3
ASV_836	10	3	9	9	3	7
ASV_837	6	10	6	5	8	9
ASV_838	3	5	5	4	3	8
ASV_839	2	5	3	5	6	2
ASV_840	3	10	1	5	7	9
ASV_841	3	8	2	8	1	3
ASV_842	6	7	10	9	3	2
ASV_843	3	3	8	5	5	10
ASV_844	9	9	3	4	10	4
ASV_845	3	10	1	6	7	8
ASV_846	1	7	1	1	7	2
ASV_847	2	4	7	10	5	10
ASV_848	4	2	7	8	1	5
ASV_849	10	7	4	9	6	5
ASV_850	2	9	4	2	5	9
ASV_851	1	4	2	2	4	5
ASV_852	8	6	6	5	8	4
ASV_853	10	1	5	7	7	6
ASV_854	4	1	9	9	3	9
ASV_855	6	4	3	2	1	8
ASV_856	6	8	2	3	7	8
ASV_857	9	8	9	3	7	4
ASV_858	10	2	2	9	3	3
ASV_859	3	7	3	1	7	8
ASV_860	3	6	7	8	5	6
ASV_861	3	1	3	6	8	3
ASV_862	10	2	10	1	4	4
ASV_863	4	1	3	4	3	2
ASV_864	2	8	9	10	7	1
ASV_865	3	4	10	5	6	7
ASV_866	8	7	6	4	7	9
ASV_867	10	4	2	10	9	10
ASV_868	3	7	9	2	7	4
ASV_869	3	5	1	7	1	6
ASV_870	6	7	10	9	10	2
ASV_871	6	5	5	4	7	9
ASV_872	10	4	1	6	6	9
ASV_873	9	1	5	10	8	7
ASV_874	8	1	3	10	10	5
ASV_875	5	2	8	1	2	1
ASV_876	3	8	4	2	6	9
ASV_877	9	2	7	7	6	6
ASV_878	6	6	7	4	3	7
ASV_879	1	8	10	8	8	2
ASV_880	8	6	7	2	10	3
ASV_881	8	1	2	4	9	8
ASV_882	2	1	7	2	7	5
ASV_883	6	9	3	7	10	9
ASV_884	9	7	4	8	2	3
ASV_885	7	6	1	7	2	10
ASV_886	10	4	10	6	10	6
ASV_887	10	6	8	4	3	7
ASV_888	1	1	4	1	9	1
ASV_889	9	4	5	10	9	8
ASV_890	4	7	10	10	8	5
ASV_891	2	7	5	2	8	6
ASV_892	7	10	3	10	3	10
ASV_893	5	10	9	9	10	4
ASV_894	6	3	4	3	7	2
ASV_895	4	10	9	9	4	1
ASV_896	1	6	10	6	7	3
ASV_897	1	7	3	1	3	8
ASV_898	8	7	5	10	2	9
ASV_899	6	1	5	7	8	6
ASV_900	5	1	2	2	4	7
ASV_901	5	10	10	7	8	8
ASV_902	10	5	6	10	4	5
ASV_903	3	1	10	10	6	2
ASV_904	10	4	1	2	10	3
ASV_905	3	5	6	8	2	9
ASV_906	6	6	1	8	6	6
ASV_907	10	9	7	1	4	9
ASV_908	4	4	9	10	9	1
ASV_909	1	1	4	1	9	4
ASV_910	9	6	3	4	10	2
ASV_911	9	10	6	2	4	10
ASV_912	2	2	8	5	6	5
ASV_913	9	2	10	3	5	1
ASV_914	9	4	9	7	7	1
ASV_915	4	7	2	5	9	5
ASV_916	4	6	7	3	6	2
ASV_917	3	5	7	5	7	2
ASV_918	7	2	4	1	9	2
ASV_919	3	2	6	8	7	2
ASV_920	1	10	3	3	2	10
ASV_921	9	7	2	3	3	2
ASV_922	2	9	10	6	1	5
ASV_923	2	6	3	1	2	7
ASV_924	10	9	6	6	7	3
ASV_925	5	9	8	6	2	7
ASV_926	3	7	7	3	2	2
ASV_927	1	3	6	9	1	8
ASV_928	6	3	7	10	8	7
ASV_929	2	2	6	4	7	10
ASV_930	2	9	10	1	9	5
ASV_931	7	2	9	2	1	1
ASV_932	6	3	4	7	2	2
ASV_933	5	1	3	2	9	10
ASV_934	1	4	8	10	5	2
ASV_935	1	10	7	9	8	9
ASV_936	7	5	4	2	3	10
ASV_937	8	6	9	2	10	1
ASV_938	2	8	8	6	8	10
ASV_939	3	6	4	5	7	8
ASV_940	3	8	2	2	10	1
ASV_941	5	6	6	1	1	8
ASV_942	5	7	5	9	3	7
ASV_943	1	7	2	7	3	8
ASV_944	8	10	4	1	5	2
ASV_945	5	10	2	9	5	4
ASV_946	3	5	10	3	2	10
ASV_947	3	3	1	7	4	2
ASV_948	9	1	4	10	5	6
ASV_949	6	6	6	7	7	10
ASV_950	8	6	5	3	1	6
ASV_951	4	9	3	7	3	1
ASV_952	4	3	6	1	6	2
ASV_953	2	1	8	5	6	7
ASV_954	8	4	3	1	1	9
ASV_955	6	1	8	1	4	2
ASV_956	5	9	3	4	1	8
ASV_957	3	6	2	8	10	2
ASV_958	9	5	5	9	8	2
ASV_959	1	8	1	6	8	9
ASV_960	9	4	7	3	9	3
ASV_961	8	3	1	1	6	6
ASV_962	2	2	10	5	5	9
ASV_963	5	3	10	3	4	10
ASV_964	10	2	10	1	6	3
ASV_965	5	8	10	9	10	9
ASV_966	9	6	6	7	8	4
ASV_967	8	9	7	9	1	9
ASV_968	1	7	2	5	8	9
ASV_969	10	2	1	2	8	6
ASV_970	7	7	4	10	9	7
ASV_971	10	7	1	3	3	6
ASV_972	3	2	4	10	1	5
ASV_973	9	5	8	7	8	5
ASV_974	9	10	9	9	5	4
ASV_975	3	9	1	10	6	8
ASV_976	4	5	1	10	7	2
ASV_977	6	10	7	2	8	7
ASV_978	10	9	4	7	2	10
ASV_979	5	2	1	10	10	1
ASV_980	5	9	6	5	10	5
ASV_981	5	5	7	6	8	2
ASV_982	9	6	3	6	10	9
ASV_983	1	4	5	8	10	8
ASV_984	6	6	6	5	9	2
ASV_985	7	3	10	4	9	3
ASV_986	10	2	2	4	4	6
ASV_987	2	10	8	4	7	4
ASV_988	5	7	3	8	1	2
ASV_989	7	3	7	7	4	9
ASV_990	10	2	10	8	1	2
ASV_991	8	7	1	8	4	2
ASV_992	5	5	5	6	8	5
ASV_993	10	1	1	8	5	2
ASV_994	3	2	6	3	5	8
ASV_995	7	9	4	8	6	10
ASV_996	3	7	7	6	4	1
ASV_997	9	10	1	6	6	3
ASV_998	3	7	7	6	2	4
ASV_999	6	3	6	1	5	1
ASV_1000	6	8	10	10	4	3
